time,MRI-ESM2-0
2000.0,7546425300000.0
2001.0,7550544600000.0
2002.0,7534122400000.0
2003.0,7507837000000.0
2004.0,7492058000000.0
2005.0,7471138000000.0
2006.0,7447215300000.0
2007.0,7433330000000.0
2008.0,7416014400000.0
2009.0,7412837000000.0
2010.0,7407180700000.0
2011.0,7405309500000.0
2012.0,7392318000000.0
2013.0,7396582000000.0
2014.0,7352446600000.0
2015.0,7345945400000.0
2016.0,7339209400000.0
2017.0,7340109600000.0
2018.0,7328721000000.0
2019.0,7335885400000.0
2020.0,7302888300000.0
2021.0,7283257000000.0
2022.0,7266903000000.0
2023.0,7234162000000.0
2024.0,7174156700000.0
2025.0,7142139000000.0
2026.0,7096426000000.0
2027.0,7057867500000.0
2028.0,7013349700000.0
2029.0,6967909000000.0
2030.0,6911696600000.0
2031.0,6872405400000.0
2032.0,6827231000000.0
2033.0,6784464000000.0
2034.0,6736347000000.0
2035.0,6660069000000.0
2036.0,6613185000000.0
2037.0,6541993300000.0
2038.0,6472526000000.0
2039.0,6382017300000.0
2040.0,6267270000000.0
2041.0,6171586500000.0
2042.0,6069983600000.0
2043.0,5983383300000.0
2044.0,5871890000000.0
2045.0,5777008000000.0
2046.0,5655126000000.0
2047.0,5553379000000.0
2048.0,5443584000000.0
2049.0,5343477000000.0
2050.0,5206831000000.0
2051.0,5122137000000.0
2052.0,5018203700000.0
2053.0,4896157000000.0
2054.0,4806123000000.0
2055.0,4695613000000.0
2056.0,4588181000000.0
2057.0,4509968400000.0
2058.0,4410138000000.0
2059.0,4330670500000.0
2060.0,4224239800000.0
2061.0,4119148400000.0
2062.0,4013873000000.0
2063.0,3909925000000.0
2064.0,3814679000000.0
2065.0,3716933700000.0
2066.0,3630471600000.0
2067.0,3538657000000.0
2068.0,3440434500000.0
2069.0,3347608800000.0
2070.0,3256362200000.0
2071.0,3159793000000.0
2072.0,3060796200000.0
2073.0,2975675200000.0
2074.0,2898214500000.0
2075.0,2805773000000.0
2076.0,2717414900000.0
2077.0,2622235000000.0
2078.0,2541065900000.0
2079.0,2444280500000.0
2080.0,2362710200000.0
2081.0,2270595600000.0
2082.0,2178923500000.0
2083.0,2086327800000.0
2084.0,2012221000000.0
2085.0,1934385900000.0
2086.0,1854482700000.0
2087.0,1783683900000.0
2088.0,1705141500000.0
2089.0,1610424900000.0
2090.0,1532802400000.0
2091.0,1453950500000.0
2092.0,1380834300000.0
2093.0,1305469000000.0
2094.0,1234834400000.0
2095.0,1166236700000.0
2096.0,1094294100000.0
2097.0,1028150900000.0
2098.0,960108000000.0
2099.0,904910300000.0
2100.0,849793060000.0
