time,MRI-ESM2-0
2000.0,15168763000.0
2001.0,14762358000.0
2002.0,14708902000.0
2003.0,14624146000.0
2004.0,14558426000.0
2005.0,14521487000.0
2006.0,14576042000.0
2007.0,14455386000.0
2008.0,14623532000.0
2009.0,14410971000.0
2010.0,14310524000.0
2011.0,14368890000.0
2012.0,14319043000.0
2013.0,14203314000.0
2014.0,14053338000.0
2015.0,13963437000.0
2016.0,13851248000.0
2017.0,13790551000.0
2018.0,13697637000.0
2019.0,13597203000.0
2020.0,13488193000.0
2021.0,13377546000.0
2022.0,13254627000.0
2023.0,13080424000.0
2024.0,12954162000.0
2025.0,12793311000.0
2026.0,12574684000.0
2027.0,12268087000.0
2028.0,11964938000.0
2029.0,11712399000.0
2030.0,11443669000.0
2031.0,11185828000.0
2032.0,10869936000.0
2033.0,10697464000.0
2034.0,10450136000.0
2035.0,10178809000.0
2036.0,9816328000.0
2037.0,9656306000.0
2038.0,9335070000.0
2039.0,9191809000.0
2040.0,8928808000.0
2041.0,8603999000.0
2042.0,8247242000.0
2043.0,8066249000.0
2044.0,7890796000.0
2045.0,7679440000.0
2046.0,7521432600.0
2047.0,7356947000.0
2048.0,7147611600.0
2049.0,6936923600.0
2050.0,6686916000.0
2051.0,6420379000.0
2052.0,6206746600.0
2053.0,5998620000.0
2054.0,5839492000.0
2055.0,5674327600.0
2056.0,5577148000.0
2057.0,5366273000.0
2058.0,5142843400.0
2059.0,4981885400.0
2060.0,4865623000.0
2061.0,4784521700.0
2062.0,4707648500.0
2063.0,4552533500.0
2064.0,4475696000.0
2065.0,4337091600.0
2066.0,4186203600.0
2067.0,4084089600.0
2068.0,3986636500.0
2069.0,3883947800.0
2070.0,3744903400.0
2071.0,3640965400.0
2072.0,3516601000.0
2073.0,3404030000.0
2074.0,3298793000.0
2075.0,3174481400.0
2076.0,3106031000.0
2077.0,2978567000.0
2078.0,2876367000.0
2079.0,2799337500.0
2080.0,2692621300.0
2081.0,2569548800.0
2082.0,2469090800.0
2083.0,2371879000.0
2084.0,2291610000.0
2085.0,2216287000.0
2086.0,2108671400.0
2087.0,2007279200.0
2088.0,1923027300.0
2089.0,1846294800.0
2090.0,1786947800.0
2091.0,1679996000.0
2092.0,1625671400.0
2093.0,1560921500.0
2094.0,1486601200.0
2095.0,1433152400.0
2096.0,1387205400.0
2097.0,1332871200.0
2098.0,1294703100.0
2099.0,1236830700.0
2100.0,1177382300.0
2101.0,1097947500.0
