time,MRI-ESM2-0
2000.0,306068900000.0
2001.0,306951360000.0
2002.0,305262330000.0
2003.0,299780440000.0
2004.0,297118800000.0
2005.0,295246430000.0
2006.0,295092700000.0
2007.0,290974600000.0
2008.0,291913100000.0
2009.0,290975020000.0
2010.0,286469980000.0
2011.0,283967100000.0
2012.0,283319660000.0
2013.0,283798570000.0
2014.0,280823530000.0
2015.0,276769930000.0
2016.0,278803050000.0
2017.0,275208500000.0
2018.0,275055940000.0
2019.0,269602080000.0
2020.0,267488380000.0
2021.0,266867770000.0
2022.0,266180640000.0
2023.0,264545700000.0
2024.0,258361340000.0
2025.0,254291170000.0
2026.0,247903900000.0
2027.0,242500670000.0
2028.0,240325250000.0
2029.0,237607700000.0
2030.0,231272630000.0
2031.0,228995140000.0
2032.0,224702480000.0
2033.0,220564670000.0
2034.0,216046340000.0
2035.0,210492390000.0
2036.0,208234820000.0
2037.0,207747040000.0
2038.0,202062040000.0
2039.0,199631210000.0
2040.0,196345220000.0
2041.0,192454540000.0
2042.0,187382330000.0
2043.0,184478100000.0
2044.0,177910200000.0
2045.0,171994580000.0
2046.0,167293040000.0
2047.0,162218820000.0
2048.0,156561110000.0
2049.0,151544380000.0
2050.0,146886840000.0
2051.0,142254780000.0
2052.0,136675050000.0
2053.0,132629370000.0
2054.0,128021580000.0
2055.0,124090780000.0
2056.0,119953785000.0
2057.0,117549090000.0
2058.0,112948380000.0
2059.0,110923140000.0
2060.0,106525385000.0
2061.0,103234170000.0
2062.0,101384495000.0
2063.0,99285110000.0
2064.0,96526290000.0
2065.0,93406220000.0
2066.0,91136820000.0
2067.0,89092710000.0
2068.0,89532750000.0
2069.0,86424980000.0
2070.0,83612746000.0
2071.0,81491190000.0
2072.0,78425596000.0
2073.0,75480120000.0
2074.0,73321990000.0
2075.0,70967060000.0
2076.0,68774320000.0
2077.0,66889175000.0
2078.0,65408233000.0
2079.0,63773460000.0
2080.0,62025780000.0
2081.0,60518550000.0
2082.0,60419797000.0
2083.0,58587970000.0
2084.0,57640845000.0
2085.0,56505740000.0
2086.0,54867590000.0
2087.0,53226398000.0
2088.0,51267180000.0
2089.0,48717013000.0
2090.0,46838923000.0
2091.0,45323575000.0
2092.0,44045447000.0
2093.0,42666020000.0
2094.0,41537720000.0
2095.0,40151544000.0
2096.0,39835804000.0
2097.0,38336344000.0
2098.0,36738080000.0
2099.0,35892187000.0
2100.0,34507620000.0
