time,MRI-ESM2-0
2000.0,3248309100000.0
2001.0,3243767200000.0
2002.0,3232233000000.0
2003.0,3227892600000.0
2004.0,3240077600000.0
2005.0,3244795000000.0
2006.0,3237514600000.0
2007.0,3214912800000.0
2008.0,3194102500000.0
2009.0,3171044300000.0
2010.0,3155697000000.0
2011.0,3152479800000.0
2012.0,3131951000000.0
2013.0,3106307300000.0
2014.0,3092410500000.0
2015.0,3081363500000.0
2016.0,3069545000000.0
2017.0,3059516400000.0
2018.0,3051482300000.0
2019.0,3035995800000.0
2020.0,3022324800000.0
2021.0,2981589400000.0
2022.0,2960578300000.0
2023.0,2931303400000.0
2024.0,2894570000000.0
2025.0,2865968000000.0
2026.0,2827502500000.0
2027.0,2794653500000.0
2028.0,2761725300000.0
2029.0,2714023000000.0
2030.0,2676463200000.0
2031.0,2631708000000.0
2032.0,2598334400000.0
2033.0,2575073800000.0
2034.0,2529648700000.0
2035.0,2486051300000.0
2036.0,2437987200000.0
2037.0,2389829200000.0
2038.0,2348459200000.0
2039.0,2293468200000.0
2040.0,2247771600000.0
2041.0,2202791300000.0
2042.0,2151202800000.0
2043.0,2104358100000.0
2044.0,2063815100000.0
2045.0,2016819200000.0
2046.0,1964430500000.0
2047.0,1931404900000.0
2048.0,1886591800000.0
2049.0,1836507200000.0
2050.0,1801243900000.0
2051.0,1748273300000.0
2052.0,1699936100000.0
2053.0,1661500800000.0
2054.0,1620435000000.0
2055.0,1580353000000.0
2056.0,1532399000000.0
2057.0,1483312500000.0
2058.0,1440853400000.0
2059.0,1394012200000.0
2060.0,1355256300000.0
2061.0,1309001100000.0
2062.0,1275686600000.0
2063.0,1242145000000.0
2064.0,1202547900000.0
2065.0,1168825600000.0
2066.0,1129003200000.0
2067.0,1092307450000.0
2068.0,1064240300000.0
2069.0,1033498800000.0
2070.0,997865500000.0
2071.0,951317360000.0
2072.0,921734940000.0
2073.0,889939900000.0
2074.0,863790400000.0
2075.0,840753800000.0
2076.0,807760400000.0
2077.0,779058940000.0
2078.0,753891150000.0
2079.0,730366350000.0
2080.0,706740550000.0
2081.0,683892600000.0
2082.0,667816560000.0
2083.0,646475600000.0
2084.0,625322900000.0
2085.0,598779800000.0
2086.0,582768100000.0
2087.0,562980300000.0
2088.0,545132020000.0
2089.0,525484260000.0
2090.0,510611600000.0
2091.0,496304460000.0
2092.0,480403850000.0
2093.0,465904500000.0
2094.0,451874030000.0
2095.0,434468000000.0
2096.0,423999860000.0
2097.0,412939320000.0
2098.0,402283130000.0
2099.0,391531820000.0
2100.0,376849500000.0
