,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI2000-v7.0-C-16,2036,7,1928.5801794343356,15.47067732641746,0.00802179628899593
RGI2000-v7.0-C-19,1601,160,133432.3594310911,570.6817935727378,0.004276936988942752
RGI2000-v7.0-C-02,14464,503,14521.47314615289,22.963525526546917,0.0015813495845378844
RGI2000-v7.0-C-10,6177,17,2642.527911450013,0.8811357443373832,0.00033344425257324326
RGI2000-v7.0-C-17,22975,68,27674.39564410155,8.531848661122353,0.0003082939468974749
RGI2000-v7.0-C-15,11816,21,16049.362476460627,3.286941014186934,0.00020480196761758256
RGI2000-v7.0-C-13,53387,88,50343.98398017428,10.079077775710541,0.00020020421466206834
RGI2000-v7.0-C-08,2621,4,2947.8314490859193,0.5762564742093906,0.00019548487902457232
RGI2000-v7.0-C-03,2422,61,105370.27176590948,13.476321853879412,0.00012789491407802763
RGI2000-v7.0-C-14,28855,60,33075.057640417566,3.0681666084738586,9.276375696242396e-05
RGI2000-v7.0-C-12,1980,2,1406.6971914167234,0.1260553644895601,8.961087379623348e-05
RGI2000-v7.0-C-11,3319,4,2124.2467629542325,0.10878887003127188,5.1212915527750186e-05
RGI2000-v7.0-C-05,13137,23,90481.59882886185,3.263927821091616,3.607283539789183e-05
RGI2000-v7.0-C-18,2484,1,886.4041241110974,0.0270853747237104,3.05564628897368e-05
RGI2000-v7.0-C-01,17503,11,86707.62417570819,1.6244560644805395,1.8734869971626365e-05
RGI2000-v7.0-C-04,6532,12,40538.07873266276,0.4212192431338123,1.039070563535176e-05
RGI2000-v7.0-C-07,943,2,33958.82902224924,0.0346760545230794,1.021120442650135e-06
RGI2000-v7.0-C-06,290,0,11059.702426159998,0.0,0.0
RGI2000-v7.0-C-09,327,0,51595.02460344262,0.0,0.0
