,n_glaciers,n_missing_glaciers,rgi_area_km2,missing_area_km2,missing_area_perc
RGI2000-v7.0-G-03,5216,75,105370.27173826646,777.6734938361432,0.007380388045006074
RGI2000-v7.0-G-02,18730,543,14521.473146152897,27.43655639889186,0.0018893783105029184
RGI2000-v7.0-G-16,3695,19,1928.580179434492,2.2215309412498088,0.0011518997057727812
RGI2000-v7.0-G-18,3018,45,886.4041240969465,0.9517324902115339,0.0010737004311449283
RGI2000-v7.0-G-17,30634,561,27674.395645545806,24.900739416602505,0.0008997753640416093
RGI2000-v7.0-G-10,7155,39,2642.527913539684,1.7223927226354392,0.0006517973618406484
RGI2000-v7.0-G-11,4079,60,2124.2467629595967,1.317739230768382,0.000620332465015716
RGI2000-v7.0-G-15,18587,44,16049.362476431332,8.070370218234071,0.0005028467784988656
RGI2000-v7.0-G-13,75613,208,50343.98397914013,14.930382037153352,0.0002965673523839454
RGI2000-v7.0-G-01,27509,69,86707.62417584861,25.127138419051388,0.000289791568594844
RGI2000-v7.0-G-08,3410,6,2947.8314491646906,0.717564493844161,0.00024342114066511263
RGI2000-v7.0-G-12,2275,6,1406.6971889176468,0.272018780006624,0.0001933740837400287
RGI2000-v7.0-G-14,37562,105,33075.05764045567,5.265732871635017,0.00015920555389128786
RGI2000-v7.0-G-05,19994,31,90481.59880601033,8.64738361648481,9.557063237824217e-05
RGI2000-v7.0-G-04,11009,17,40538.078732652175,0.353128615444476,8.711034821688324e-06
RGI2000-v7.0-G-06,568,1,11059.702426159907,0.055785244376069,5.0440095245346e-06
RGI2000-v7.0-G-07,1666,2,33958.82903125027,0.03467605452308,1.0211204423794975e-06
RGI2000-v7.0-G-09,1069,0,51595.02460344258,0.0,0.0
