,cmip,gcm_original,gcm,scenario,rgi_reg,end_year,bias_correction,perc_area_missing,fpath,exp,historical_future_option,oggm_version
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-06,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-06,2101,2000-2019,5.0440095245346e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-06/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-06,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-06,2101,2000-2019,5.0440095245346e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-06/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-06,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-06,2101,2000-2019,5.0440095245346e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-06/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-15,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-15,2101,2000-2019,0.00047731618183557647,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-15/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-15,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-15,2101,2000-2019,0.0005028467784988655,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-15/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-15,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-15,2101,2000-2019,0.00047731618183557647,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-15/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI2000-v7.0-G-17,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI2000-v7.0-G-17,2101,2000-2019,0.0008997753640416093,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-17/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI2000-v7.0-G-17,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI2000-v7.0-G-17,2101,2000-2019,0.0008997753640416093,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-17/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-17,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-17,2101,2000-2019,0.0008997753640416093,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-17/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI2000-v7.0-G-04,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI2000-v7.0-G-04,2101,2000-2019,8.711034821688325e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/w5e5/regional_spinup/CMIP6/2100/RGI2000-v7.0-G-04/run_hydro_w5e5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,regional_spinup,w5e5_gcm_merged,oggm_v1.6.3_2025.6
