,cmip,gcm_original,gcm,scenario,rgi_reg,end_year,bias_correction,perc_area_missing,fpath,exp,historical_future_option,oggm_version
CMIP6:2100:MRI-ESM2-0:ssp126:RGI14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI14,2101,2000-2019,0.0002447845285453555,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI14/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI14,2101,2000-2019,0.0002447845285453555,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI14/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI14,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI14,2101,2000-2019,0.00024249069762190506,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI14/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI07,2101,2000-2019,0.0002666750375615442,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI07/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI07,2101,2000-2019,0.0002666750375615442,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI07/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI07,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI07,2101,2000-2019,2.090760563921118e-06,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI07/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI13,2101,2000-2019,0.00014319494907198615,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI13/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI13,2101,2000-2019,0.00017252354628984618,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI13/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI13,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI13,2101,2000-2019,0.00014814389632036647,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI13/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp370:RGI19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp370,RGI19,2101,2000-2019,0.0019197361239268508,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI19/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp370_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI19,2101,2000-2019,0.0019195780713977314,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI19/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp585:RGI19,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp585,RGI19,2101,2000-2019,0.001918298598542956,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI19/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp585_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
CMIP6:2100:MRI-ESM2-0:ssp126:RGI17,CMIP6,MRI-ESM2-0,MRI-ESM2-0,ssp126,RGI17,2101,2000-2019,0.0009623814268064105,/home/www/oggm/oggm-standard-projections/oggm_v16/2025.6/era5/per_glacier_spinup/CMIP6/2100/RGI17/run_hydro_era5_gcm_merged_MRI-ESM2-0_ssp126_bc_2000_2019_endyr2101_Batch_*,per_glacier_spinup,era5_gcm_merged,oggm_v1.6.3_2025.6
