time,MRI-ESM2-0
2000.0,8687291000000.0
2001.0,8662441000000.0
2002.0,8628551000000.0
2003.0,8604911400000.0
2004.0,8587018500000.0
2005.0,8579046700000.0
2006.0,8567740400000.0
2007.0,8531743300000.0
2008.0,8495191000000.0
2009.0,8463920400000.0
2010.0,8417477400000.0
2011.0,8376302000000.0
2012.0,8340648000000.0
2013.0,8299822400000.0
2014.0,8287595000000.0
2015.0,8262508300000.0
2016.0,8246088700000.0
2017.0,8194062500000.0
2018.0,8187711000000.0
2019.0,8172236400000.0
2020.0,8094777600000.0
2021.0,8070925000000.0
2022.0,8051239700000.0
2023.0,7986804700000.0
2024.0,7932537000000.0
2025.0,7892742000000.0
2026.0,7847477000000.0
2027.0,7809964000000.0
2028.0,7778139600000.0
2029.0,7736207600000.0
2030.0,7706300600000.0
2031.0,7700132000000.0
2032.0,7655002700000.0
2033.0,7608584400000.0
2034.0,7541268400000.0
2035.0,7502148000000.0
2036.0,7479360000000.0
2037.0,7432011500000.0
2038.0,7366195000000.0
2039.0,7318187500000.0
2040.0,7291851000000.0
2041.0,7236828000000.0
2042.0,7205681600000.0
2043.0,7148947400000.0
2044.0,7061409600000.0
2045.0,6993426000000.0
2046.0,6853731000000.0
2047.0,6760815000000.0
2048.0,6623419000000.0
2049.0,6518248000000.0
2050.0,6423984500000.0
2051.0,6319254000000.0
2052.0,6267855700000.0
2053.0,6197243500000.0
2054.0,6078607700000.0
2055.0,5961897000000.0
2056.0,5882543300000.0
2057.0,5788042500000.0
2058.0,5719159500000.0
2059.0,5622740000000.0
2060.0,5554459600000.0
2061.0,5445297600000.0
2062.0,5323095500000.0
2063.0,5282898400000.0
2064.0,5225330000000.0
2065.0,5173311000000.0
2066.0,5105422000000.0
2067.0,5005539000000.0
2068.0,4923299700000.0
2069.0,4822318700000.0
2070.0,4711389300000.0
2071.0,4632750000000.0
2072.0,4552813000000.0
2073.0,4474714700000.0
2074.0,4397424400000.0
2075.0,4316598400000.0
2076.0,4246829300000.0
2077.0,4148162200000.0
2078.0,4075845800000.0
2079.0,3968543500000.0
2080.0,3878684000000.0
2081.0,3760326400000.0
2082.0,3669442700000.0
2083.0,3564702000000.0
2084.0,3464470700000.0
2085.0,3379603700000.0
2086.0,3301994400000.0
2087.0,3236263000000.0
2088.0,3144648500000.0
2089.0,3056762000000.0
2090.0,2976314600000.0
2091.0,2878207000000.0
2092.0,2794043700000.0
2093.0,2708273600000.0
2094.0,2641835600000.0
2095.0,2582011400000.0
2096.0,2505017400000.0
2097.0,2427350000000.0
2098.0,2361256300000.0
2099.0,2281123000000.0
2100.0,2216952300000.0
